image,num_persons,unique_actions,person_actions_per_instance
2010_006217.jpg,2,"ridinghorse,walking",ridinghorse | walking
2010_006295.jpg,2,"playinginstrument,walking",walking | playinginstrument
2010_006375.jpg,4,"ridinghorse,walking",walking | walking | walking | ridinghorse
2010_006565.jpg,2,"playinginstrument,walking",playinginstrument | walking
2010_006635.jpg,2,"ridingbike,running",running | ridingbike
2010_006749.jpg,4,"ridinghorse,walking",ridinghorse | walking | ridinghorse | walking
2010_006750.jpg,2,"reading,walking",reading | walking
2010_006767.jpg,2,"usingcomputer,walking",usingcomputer | walking
2010_006994.jpg,3,"ridingbike,walking",walking | walking | ridingbike
2011_003406.jpg,2,"jumping,running",jumping | running
2011_003422.jpg,2,"ridingbike,running",running | ridingbike
2011_003426.jpg,2,"jumping,running",jumping | running
2011_003449.jpg,2,"playinginstrument,walking",walking | playinginstrument
2011_003495.jpg,2,"takingphoto,walking",takingphoto | walking
2011_003514.jpg,2,"ridingbike,takingphoto",ridingbike | takingphoto
2011_003719.jpg,3,"phoning,usingcomputer",phoning | none | usingcomputer
2011_003764.jpg,4,"takingphoto,walking",takingphoto | none | walking | walking
2011_003780.jpg,2,"takingphoto,walking",takingphoto | walking
2011_003817.jpg,3,"playinginstrument,walking",walking | walking | playinginstrument
2011_003960.jpg,2,"ridingbike,running",ridingbike | running
2011_003972.jpg,2,"ridingbike,walking",ridingbike | walking
2011_004031.jpg,2,"running,walking",running | walking
2011_004117.jpg,4,"playinginstrument,walking","playinginstrument,walking | playinginstrument,walking | playinginstrument,walking | playinginstrument,walking"
2011_004170.jpg,2,"ridinghorse,takingphoto",ridinghorse | takingphoto
2011_004218.jpg,2,"takingphoto,walking",takingphoto | walking
2011_004283.jpg,2,"running,walking",running | walking
2011_004335.jpg,2,"playinginstrument,usingcomputer",playinginstrument | usingcomputer
2011_004512.jpg,2,"ridinghorse,walking",walking | ridinghorse
2011_004514.jpg,3,"playinginstrument,walking","playinginstrument,walking | walking | walking"
2011_004677.jpg,2,"phoning,playinginstrument",phoning | playinginstrument
2011_004775.jpg,3,"playinginstrument,takingphoto",playinginstrument | takingphoto | takingphoto
2011_004792.jpg,2,"running,walking",running | walking
2011_004829.jpg,2,"ridinghorse,walking",ridinghorse | walking
2011_004839.jpg,2,"phoning,walking","phoning,walking | walking"
2011_005010.jpg,2,"playinginstrument,usingcomputer",playinginstrument | usingcomputer
2011_005027.jpg,2,"reading,takingphoto",takingphoto | reading
2011_005070.jpg,2,"running,walking",running | walking
2011_005220.jpg,5,"ridingbike,walking",walking | walking | walking | walking | ridingbike
2011_005256.jpg,2,"reading,takingphoto",takingphoto | reading
2011_005438.jpg,3,"playinginstrument,reading","playinginstrument,reading | playinginstrument,reading | playinginstrument,reading"
2011_005473.jpg,3,"takingphoto,walking",takingphoto | walking | walking
2011_005480.jpg,2,"ridingbike,walking",ridingbike | walking
2011_005492.jpg,2,"ridingbike,running",running | ridingbike
2011_005493.jpg,3,"ridingbike,running",running | running | ridingbike
2011_005572.jpg,5,"playinginstrument,takingphoto",playinginstrument | playinginstrument | takingphoto | none | none
2011_005667.jpg,5,"ridingbike,running",running | running | running | running | ridingbike
2011_005696.jpg,2,"jumping,walking",jumping | walking
2011_005706.jpg,4,"phoning,reading",reading | reading | reading | phoning
2011_005751.jpg,5,"jumping,running",jumping | running | running | running | running
2011_005780.jpg,2,"ridingbike,walking",ridingbike | walking
